,Stock,Bond,Hybrid,QDII,Others,Related
2014/1/2,-0.003454,-0.000280689,-0.001867345,-0.000800457,0.0247,0.023465694
2014/1/3,-0.013436,-0.001365332,-0.007400666,-0.000800457,0.0062,0.005890694
2014/1/6,-0.022762,-0.000147237,-0.011454619,-0.003021286,0.0065,0.006175694
2014/1/7,-0.000284,0.000547661,0.00013183,0.004499747,0.0016,0.001520694
2014/1/8,0.001747,0.000851529,0.001299264,0.001691274,-0.0156,-0.014819306
2014/1/9,-0.008783,0.000750669,-0.004016165,-0.002486995,-0.0005,-0.000474306
2014/1/10,-0.007817,9.24E-05,-0.0038623,0.003248016,0.0049,0.004655694
2014/1/13,-0.005067,0.00024698,-0.00241001,-0.005061444,0.0144,0.013680694
2014/1/14,0.008737,0.000365832,0.004551416,0.003047733,-0.0006,-0.000569306
2014/1/15,-0.001765,0.000302068,-0.000731466,0.007767523,-0.0088,-0.008359306
2014/1/16,0.001314,0.000346015,0.000830008,-0.000453391,0.0014,0.001330694
2014/1/17,-0.015081,0.000207537,-0.007436732,-0.001338111,0.0037,0.003515694
2014/1/20,-0.005736,0.001342077,-0.002196961,-0.000227102,0.0058,0.005510694
2014/1/21,0.009888,0.000941195,0.005414598,0.001817232,-0.0041,-0.003894306
2014/1/22,0.025778,0.000813448,0.013295724,0.001088361,-0.0079,-0.007504306
2014/1/23,-0.005307,0.00054743,-0.002379785,-0.008697425,-0.0025,-0.002374306
2014/1/24,0.006178,0.000326468,0.003252234,-0.018941211,0.0149,0.014155694
2014/1/27,-0.013252,0.00134024,-0.00595588,-0.009408915,0.0036,0.003420694
2014/1/28,0.001776,0.001421838,0.001598919,0.004231909,-0.0076,-0.007219306
2014/1/29,0.003571,7.98E-05,0.0018254,-0.004050194,0.0002,0.000190694
2014/1/30,-0.011371,0.000117962,-0.005626519,0.003784584,0.0017,0.001615694
2014/2/7,0.004555,0.002442911,0.003498956,0.011219732,0.0078,0.007410694
2014/2/10,0.024882,0.000555081,0.012718541,0.002270546,0.0085,0.008075694
2014/2/11,0.00795,0.000380455,0.004165228,0.009785604,0.0044,0.004180694
2014/2/12,0.002487,0.000171486,0.001329243,0.002960427,0.0023,0.002185694
2014/2/13,-0.005103,0.000342221,-0.00238039,0.001037703,0.0002,0.000190694
2014/2/14,0.007028,0.000646887,0.003837443,0.003524534,0.0182,0.017290694
2014/2/17,0.007001,0.000758358,0.003879679,0.002272571,0.0123,0.011685694
2014/2/18,-0.012634,2.35E-05,-0.00630525,0.003366772,-0.0071,-0.006744306
2014/2/19,0.011485,7.45E-05,0.00577975,-0.002876121,0.0009,0.000855694
2014/2/20,-0.009191,0.001373952,-0.003908524,0.000984365,-0.0029,-0.002754306
2014/2/21,-0.010117,0.001890295,-0.004113353,0.002812972,0.007,0.006650694
2014/2/24,-0.021987,0.000943021,-0.01052199,0.004196219,0.0047,0.004465694
2014/2/25,-0.025559,0.002463562,-0.011547719,-0.000340654,0.0073,0.006935694
2014/2/26,0.002547,0.001517691,0.002032346,-0.000931437,0.0108,0.010260694
2014/2/27,-0.004297,0.001049959,-0.001623521,0.002296655,-0.0141,-0.013394306
2014/2/28,0.011542,0.001926781,0.00673439,0.001520033,0.0048,0.004560694
2014/3/3,0.005231,0.000345307,0.002788154,-0.011847321,0.0132,0.012540694
2014/3/4,-0.002784,-0.000804984,-0.001794492,0.013960845,-0.0083,-0.007884306
2014/3/5,-0.009292,-0.000413058,-0.004852529,0.000406954,-0.0035,-0.003324306
2014/3/6,0.004463,-0.000598327,0.001932337,0.003231711,-0.0003,-0.000284306
2014/3/7,-0.002427,6.01E-05,-0.00118345,-0.002522977,0.0087,0.008265694
2014/3/10,-0.032546,0.000619834,-0.015963083,-0.003116531,-0.0103,-0.009784306
2014/3/11,0.005184,0.000269089,0.002726544,-0.0021748,0.0075,0.007125694
2014/3/12,0.002595,0.000263554,0.001429277,-0.004881261,0.011,0.010450694
2014/3/13,0.012392,0.000375431,0.006383716,-0.00944537,0.0087,0.008265694
2014/3/14,-0.008175,0.000607288,-0.003783856,-0.006310892,-0.0005,-0.000474306
2014/3/17,0.009517,0.000449393,0.004983196,0.007139049,0.0136,0.012920694
2014/3/18,-0.002289,0.000147231,-0.001070885,0.007525719,-0.0153,-0.014534306
2014/3/19,-0.008074,-0.000389833,-0.004231917,-0.003860386,-0.0033,-0.003134306
2014/3/20,-0.015985,-0.001448807,-0.008716904,0.000573276,-0.0103,-0.009784306
2014/3/21,0.034419,0.000167281,0.01729314,-0.000343769,-0.0007,-0.000664306
2014/3/24,0.008225,0.000616448,0.004420724,-0.003301314,-0.0052,-0.004939306
2014/3/25,-0.000971,-7.64E-05,-0.0005237,0.005405405,-0.0102,-0.009689306
2014/3/26,-0.00156,8.26E-05,-0.0007387,-0.000617708,0.0031,0.002945694
2014/3/27,-0.007066,0.000180794,-0.003442603,-0.000480736,-0.0095,-0.009024306
2014/3/28,-0.001736,4.37E-05,-0.00084615,0.006000641,-0.0039,-0.003704306
2014/3/31,-0.00263,0.000403797,-0.001113102,0.006397414,-0.0027,-0.002564306
2014/4/1,0.007832,3.82E-05,0.0039351,0.006266259,-0.0055,-0.005224306
2014/4/2,0.008142,-0.00011454,0.00401373,0.003057416,-0.0005,-0.000474306
2014/4/3,-0.007208,-0.000260473,-0.003734237,-0.000381012,0.0032,0.003040694
2014/4/4,0.009452,-0.000130952,0.004660524,-0.005313782,0.0023,0.002185694
2014/4/8,0.023722,0.000568898,0.012145449,0.000295952,0.013,0.012350694
2014/4/9,0.000583,0.000182708,0.000382854,0.005780741,0.0005,0.000475694
2014/4/10,0.015698,-8.11E-05,0.00780845,-0.010951961,0.0072,0.006840694
2014/4/11,-0.001361,0.000317661,-0.00052167,-0.009631884,-0.0014,-0.001329306
2014/4/14,-0.000904,0.000993567,4.48E-05,0.003996489,0.0084,0.007980694
2014/4/15,-0.017257,0.000550072,-0.008353464,0.000345137,-0.0101,-0.009594306
2014/4/16,0.001374,0.000394637,0.000884319,0.010672555,-0.008,-0.007599306
2014/4/17,-0.003459,0.002462106,-0.000498447,0.002913063,-0.003,-0.002849306
2014/4/18,-0.000146,0.000905757,0.000379879,0.000703458,0.0001,9.57E-05
2014/4/21,-0.016737,0.000617526,-0.008059737,0.00163269,-0.0064,-0.006079306
2014/4/22,0.004365,0.000188327,0.002276664,0.005116479,0.0035,0.003325694
2014/4/23,-0.000968,0.000197774,-0.000385113,-0.001937068,-0.0026,-0.002469306
2014/4/24,-0.001911,0.000157782,-0.000876609,0.000925278,-0.0007,-0.000664306
2014/4/25,-0.010339,0.00015234,-0.00509333,-0.007034632,0.008,0.007600694
2014/4/28,-0.015157,0.001345131,-0.006905935,0.001135332,0.0082,0.007790694
2014/4/29,0.011008,0.000192676,0.005600338,0.005556816,-0.0069,-0.006554306
2014/4/30,8.80E-05,0.000334583,0.000211292,0.001353333,0.0007,0.000665694
2014/5/5,-0.001014,0.001244639,0.000115319,0,0.0099,0.009405694
2014/5/6,0.000398,0.000601975,0.000499988,-0.005286601,0.0005,0.000475694
2014/5/7,-0.009276,0.000698734,-0.004288633,0.000542778,-0.0007,-0.000664306
2014/5/8,-0.000852,0.000849219,-1.39E-06,0.002034312,-0.0143,-0.013584306
2014/5/9,-0.000742,0.002037069,0.000647534,0.000383479,0.0004,0.000380694
2014/5/12,0.021624,0.000878359,0.011251179,0.007125462,-0.0002,-0.000189306
2014/5/13,-0.002386,0.00023568,-0.00107516,0.002910622,0.0015,0.001425694
2014/5/14,-0.00114,5.71E-05,-0.00054145,-0.000669733,0.0031,0.002945694
2014/5/15,-0.013022,-9.06E-05,-0.0065563,-0.007170941,0.0027,0.002565694
2014/5/16,0.000871,-0.00011748,0.00037676,0.000787526,-0.005,-0.004749306
2014/5/19,-0.014357,0.000508246,-0.006924377,0.000989253,0.0039,0.003705694
2014/5/20,0.000297,0.000167764,0.000232382,-0.003795876,-0.0035,-0.003324306
2014/5/21,0.009516,0.000230804,0.004873402,0.005275855,0.0002,0.000190694
2014/5/22,-0.002358,0.00031527,-0.001021365,0.003992195,0.001,0.000950694
2014/5/23,0.008234,0.00051299,0.004373495,0.00359656,-0.0003,-0.000284306
2014/5/26,0.00352,0.001755337,0.002637669,0.002359436,-0.0017,-0.001614306
2014/5/27,-0.004033,0.000330514,-0.001851243,0.002598152,-0.0049,-0.004654306
2014/5/28,0.010279,0.00063807,0.005458535,0.000265787,-0.0131,-0.012444306
2014/5/29,-0.00654,0.000730572,-0.002904714,0.002745732,-0.0111,-0.010544306
2014/5/30,0.000603,0.000553039,0.00057802,-0.000220824,0.0029,0.002755694
2014/6/3,-0.003036,0.002155528,-0.000440236,0.000242285,-0.0075,-0.007124306
2014/6/4,-0.010067,0.001348221,-0.00435939,0.00072668,0.0004,0.000380694
2014/6/5,0.010491,0.000183601,0.0053373,0.003916823,-0.0024,-0.002279306
2014/6/6,-0.007387,0.000258058,-0.003564471,0.004668698,0.0094,0.008930694
2014/6/9,-0.000204,0.000218761,7.38E-06,0.001614452,-0.0021,-0.001994306
2014/6/10,0.012645,0.000271895,0.006458448,0.001263341,-0.0025,-0.002374306
2014/6/11,-0.000232,0.000562252,0.000165126,-0.002784546,0.0034,0.003230694
2014/6/12,-0.003404,0.000206575,-0.001598713,-0.003883072,-0.0018,-0.001709306
2014/6/13,0.010603,-3.12E-05,0.0052859,0.000503701,0.0093,0.008835694
2014/6/16,0.007174,0.000595043,0.003884522,-0.001160118,0.0096,0.009120694
2014/6/17,-0.01012,0.000259513,-0.004930244,0.001840813,-0.0118,-0.011209306
2014/6/18,-0.004349,-1.99E-05,-0.00218445,0.004571704,0.0025,0.002375694
2014/6/19,-0.01543,8.23E-05,-0.00767385,0.003745237,0.0063,0.005985694
2014/6/20,0.004618,0.000198387,0.002408194,0.000173547,0.0255,0.024225694
2014/6/23,-0.001226,0.000676638,-0.000274681,-0.00169179,0.0045,0.004275694
2014/6/24,0.005019,0.000201528,0.002610264,-0.003367589,-0.0003,-0.000284306
2014/6/25,-0.005338,0.000160395,-0.002588803,-0.001242588,-0.0027,-0.002564306
2014/6/26,0.007362,5.43E-05,0.00370815,0.000174615,-0.0005,-0.000474306
2014/6/27,0.00055,0.000175601,0.000362801,0.000589224,0.0012,0.001140694
2014/6/30,0.006911,0.00028025,0.003595625,0.000501636,-0.0047,-0.004464306
2014/7/1,-0.000258,-8.61E-05,-0.00017205,0.005951213,0.0081,0.007695694
2014/7/2,0.002914,-0.000719367,0.001097317,0.002557101,0.002,0.001900694
2014/7/3,0.004296,-0.000395075,0.001950462,0.005209234,-0.0031,-0.002944306
2014/7/4,-0.000687,-0.000322286,-0.000504643,-0.000258037,0.0008,0.000760694
2014/7/7,-0.001104,0.000434497,-0.000334751,-0.004172671,-0.0084,-0.007979306
2014/7/8,0.001923,0.000131287,0.001027144,-0.007278775,0.005,0.004750694
2014/7/9,-0.014567,0.000119999,-0.007223501,0.001305426,0.0029,0.002755694
2014/7/10,-0.002729,3.25E-05,-0.00134825,-0.005280083,0.0039,0.003705694
2014/7/11,0.002409,0.00010606,0.00125753,0.000851919,0.0079,0.007505694
2014/7/14,0.011056,0.000131236,0.005593618,0.006067484,-0.0136,-0.012919306
2014/7/15,0.001482,-0.000245869,0.000618066,-0.00151857,-0.0058,-0.005509306
2014/7/16,-0.001889,-0.000569416,-0.001229208,0.0055838,-0.0097,-0.009214306
2014/7/17,-0.006357,-0.001322542,-0.003839771,-0.008361601,0.0049,0.004655694
2014/7/18,0.00328,-0.001688905,0.000795547,0.0048806,0.0048,0.004560694
2014/7/21,0.000994,0.000232842,0.000613421,-0.002406765,0.0035,0.003325694
2014/7/22,0.012188,0.000391748,0.006289874,0.007063835,-0.0058,-0.005509306
2014/7/23,0.002342,0.000228707,0.001285353,0.001834506,0.0003,0.000285694
2014/7/24,0.017828,0.00022932,0.00902866,0.002111204,-0.0089,-0.008454306
2014/7/25,0.010478,0.000285089,0.005381545,-0.00371907,-0.0039,-0.003704306
2014/7/28,0.028066,0.000496936,0.014281468,8.63E-05,0.0074,0.007030694
2014/7/29,0.003215,0.000189911,0.001702456,-0.000798308,0.0004,0.000380694
2014/7/30,-0.004014,4.25E-05,-0.00198575,-0.000323897,-0.0056,-0.005319306
2014/7/31,0.012162,0.000142068,0.006152034,-0.01404009,-0.0024,-0.002279306
2014/8/1,-0.008871,0.000363749,-0.004253626,-0.005674101,-0.0083,-0.007884306
2014/8/4,0.019841,0.000601825,0.010221413,0.003503206,0.0077,0.007315694
2014/8/5,-0.002638,0.000291116,-0.001173442,-0.005928073,-0.0032,-0.003039306
2014/8/6,-0.002588,0.000261199,-0.0011634,-0.00320258,-0.0014,-0.001329306
2014/8/7,-0.015134,0.000244561,-0.00744472,-0.004963329,0.0088,0.008360694
2014/8/8,0.00158,0.000122582,0.000851291,0.001981874,0.0092,0.008740694
2014/8/11,0.014677,0.000389565,0.007533283,0.007511779,-0.0066,-0.006269306
2014/8/12,-0.003508,0.00011391,-0.001697045,-0.000683813,0.0024,0.002280694
2014/8/13,0.000784,0.000252295,0.000518148,0.005717061,-0.0015,-0.001424306
2014/8/14,-0.009732,0.002391895,-0.003670052,0.00338001,0.003,0.002850694
2014/8/15,0.01057,0.000382398,0.005476199,-0.000481232,-0.001,-0.000949306
2014/8/18,0.0059,0.000457513,0.003178756,0.006981223,-0.0101,-0.009594306
2014/8/19,8.70E-05,0.000114161,0.000100581,0.005933106,-0.0019,-0.001804306
2014/8/20,-0.003633,-6.60E-07,-0.00181683,0.001533941,-0.0023,-0.002184306
2014/8/21,-0.005028,4.68E-05,-0.0024906,0.003300472,-0.0099,-0.009404306
2014/8/22,0.004723,0.000145153,0.002434077,-0.001784562,0.0002,0.000190694
2014/8/25,-0.009513,0.000418243,-0.004547379,0.005255562,-0.0024,-0.002279306
2014/8/26,-0.008012,0.000220244,-0.003895878,0.002056952,0.0098,0.009310694
2014/8/27,0.001507,0.00040545,0.000956225,0.000769774,-0.0032,-0.003039306
2014/8/28,-0.00701,0.000484366,-0.003262817,-0.003781809,0.0008,0.000760694
2014/8/29,0.011686,0.000379401,0.006032701,0.002166173,-0.0004,-0.000379306
2014/9/1,0.007283,0.000560984,0.003921992,0.000898838,0.0004,0.000380694
2014/9/2,0.013222,0.000240193,0.006731097,0.001154611,-0.009,-0.008549306
2014/9/3,0.009377,0.000127634,0.004752317,0.003267625,-0.0063,-0.005984306
2014/9/4,0.007218,4.54E-05,0.0036317,0.000383174,-0.0014,-0.001329306
2014/9/5,0.009494,9.93E-05,0.00479665,0.001319317,-0.0026,-0.002469306
2014/9/9,-0.001647,0.000521576,-0.000562712,-0.003960312,-0.0083,-0.007884306
2014/9/10,-0.005231,2.30E-05,-0.002604,0.000534416,0.0011,0.001045694
2014/9/11,-0.003691,7.56E-05,-0.0018077,-4.27E-05,-0.0051,-0.004844306
2014/9/12,0.00615,1.31E-06,0.003075655,-0.003461317,-0.008,-0.007599306
2014/9/15,-0.000479,0.000622479,7.17E-05,-0.00175811,-0.0017,-0.001614306
2014/9/16,-0.019869,0.000210211,-0.009829395,0.002598853,0.0025,0.002375694
2014/9/17,0.005258,0.000842636,0.003050318,0.001456727,-0.0003,-0.000284306
2014/9/18,0.003056,0.00071987,0.001887935,0.004492171,-0.0122,-0.011589306
2014/9/19,0.00687,0.002167893,0.004518947,0.000298139,-0.0013,-0.001234306
2014/9/22,-0.019087,0.001226208,-0.008930396,-0.007728008,-0.0123,-0.011684306
2014/9/23,0.008635,0.000548308,0.004591654,-0.006543801,0.0078,0.007410694
2014/9/24,0.017671,-1.44E-05,0.0088283,0.00498877,0.0066,0.006270694
2014/9/25,-0.002006,3.07E-05,-0.00098765,-0.010465241,-0.0133,-0.012634306
2014/9/26,9.70E-05,0.00035597,0.000226485,0.004343294,0.0146,0.013870694
2014/9/29,0.004348,0.000706464,0.002527232,-0.003546099,-0.0074,-0.007029306
2014/9/30,0.001303,0.000426711,0.000864855,-0.001497266,0.0011,0.001045694
2014/10/8,0.011177,0.001051974,0.006114487,0.005119567,0.0001,9.57E-05
2014/10/9,0.001441,0.000141375,0.000791188,-0.011950961,0.0055,0.005225694
2014/10/10,-0.006111,0.000142007,-0.002984497,-0.013635349,-0.0035,-0.003324306
2014/10/13,-0.004801,0.000607025,-0.002096988,-0.00846173,0.0078,0.007410694
2014/10/14,-0.003415,0.001041471,-0.001186765,-0.000593269,-0.0002,-0.000189306
2014/10/15,0.007076,0.002110037,0.004593019,-0.011118975,-0.006,-0.005699306
2014/10/16,-0.007906,0.001685773,-0.003110114,-0.003324714,0.0095,0.009025694
2014/10/17,-0.001089,0.001276777,9.39E-05,0.012323944,0.002,0.001900694
2014/10/20,0.005315,0.001814062,0.003564531,0.007231121,-0.0004,-0.000379306
2014/10/21,-0.008685,0.002675482,-0.003004759,0.013813159,0.009,0.008550694
2014/10/22,-0.006062,0.000399318,-0.002831341,2.24E-05,-0.0065,-0.006174306
2014/10/23,-0.009388,-7.53E-05,-0.00473165,0.007731092,-0.0022,-0.002089306
2014/10/24,-0.002183,0.000204101,-0.00098945,0.003713587,-0.0099,-0.009404306
2014/10/27,-0.00915,0.000491159,-0.004329421,-0.001838846,-0.0008,-0.000759306
2014/10/28,0.020188,0.000892402,0.010540201,0.01001021,-0.0017,-0.001614306
2014/10/29,0.014372,0.000877464,0.007624732,0.001582244,0,6.94E-07
2014/10/30,0.007156,0.000870915,0.004013458,0.005046405,-0.0183,-0.017384306
2014/10/31,0.015958,0.000520426,0.008239213,0.015456153,-0.0294,-0.027929306
2014/11/3,0.001684,0.001465541,0.001574771,-0.002450822,0.0021,0.001995694
2014/11/4,0.000248,0.002340154,0.001294077,-0.002198228,-0.0062,-0.005889306
2014/11/5,-0.003869,0.003310992,-0.000279004,0.005961252,-0.0157,-0.014914306
2014/11/6,0.001046,0.001044405,0.001045203,0.001331186,-0.0023,-0.002184306
2014/11/7,-0.001562,0.00158533,1.17E-05,8.58E-05,-0.0004,-0.000379306
2014/11/10,0.025409,0.002017271,0.013713136,0.003687743,0.024,0.022800694
2014/11/11,-0.002774,0.0030027,0.00011435,0.002136159,-0.0127,-0.012064306
2014/11/12,0.013955,0.00025469,0.007104845,-0.002110289,0.0114,0.010830694
2014/11/13,-0.005615,-0.000473868,-0.003044434,0.001538001,-0.0065,-0.006174306
2014/11/14,0.000521,-0.001398889,-0.000438945,0.0012797,-0.0074,-0.007029306
2014/11/17,-0.005421,-0.000396896,-0.002908948,-0.001491075,0.0324,0.030780694
2014/11/18,-0.010005,-0.000591465,-0.005298233,0.006250533,-0.0007,-0.000664306
2014/11/19,-0.00165,0.000404893,-0.000622554,-0.000487608,0.0034,0.003230694
2014/11/20,-4.90E-05,-1.58E-05,-3.24E-05,0.000360582,-0.006,-0.005699306
2014/11/21,0.018271,-0.001386487,0.008442257,0.008163179,0.0069,0.006555694
2014/11/24,0.025471,0.005005008,0.015238004,0.002818205,0.0074,0.007030694
2014/11/25,0.013703,0.000599554,0.007151277,0.000230695,-0.0006,-0.000569306
2014/11/26,0.013948,-4.35E-05,0.00695225,0.001761265,0.0016,0.001520694
2014/11/27,0.011558,0.000373409,0.005965704,-0.000272097,-0.0041,-0.003894306
2014/11/28,0.019724,0.000245904,0.009984952,-0.001360858,-0.0039,-0.003704306
2014/12/1,0.003914,0.000467103,0.002190552,-0.007232856,-0.0283,-0.026884306
2014/12/2,0.036927,-0.000295505,0.018315748,0.005300503,0.0438,0.041610694
2014/12/3,0.014914,-0.001373967,0.006770017,0.00315093,-0.0051,-0.004844306
2014/12/4,0.046099,-0.001490091,0.022304454,-0.002470945,0.0015,0.001425694
2014/12/5,0.006615,-0.003786093,0.001414453,0.004786196,0.0042,0.003990694
2014/12/8,0.04096,-0.001275287,0.019842357,-0.007019743,-0.0084,-0.007979306
2014/12/9,-0.044873,-0.005512335,-0.025192668,-0.007174567,0.0143,0.013585694
2014/12/10,0.036896,1.85E-05,0.01845725,-0.012460795,0.024,0.022800694
2014/12/11,-0.011961,0.001763062,-0.005098969,0.000450644,-0.0121,-0.011494306
2014/12/12,0.003209,0.000965427,0.002087214,-0.014607151,-0.0011,-0.001044306
2014/12/15,0.007516,0.000243991,0.003879996,-0.010796691,0.0008,0.000760694
2014/12/16,0.026785,-0.00082287,0.012981065,-0.002882669,-0.0165,-0.015674306
2014/12/17,0.017314,0.00032381,0.008818905,0.011674354,0.0009,0.000855694
2014/12/18,-0.004366,0.001013808,-0.001676096,0.022119454,0.0044,0.004180694
2014/12/19,0.01113,0.00074033,0.005935165,0.007106881,0.0024,0.002280694
2014/12/22,0.003344,0.001251205,0.002297603,0.005085931,-0.0028,-0.002659306
2014/12/23,-0.020491,0.001093357,-0.009698822,0.002256004,-0.0137,-0.013014306
2014/12/24,-0.028433,0.001589696,-0.013421652,0.000715247,-0.0016,-0.001519306
2014/12/25,0.032514,0.00176078,0.01713739,-0.000294303,0.0005,0.000475694
2014/12/26,0.033105,9.23E-05,0.01659865,0.002123812,0.0064,0.006080694
2014/12/29,0.002791,0.000729824,0.001760412,0.001951445,0.0074,0.007030694
2014/12/30,0.000607,0.00040762,0.00050731,-0.007204188,-0.0106,-0.010069306
