code,symbol,issuer,fund_type,manager_0,manager_1,manager_2,manager_3,manager_4
519661,银河增利C,银河基金管理有限公司,Bond,韩晶,蒋磊,,,
61,华夏盛世,华夏基金管理有限公司,Hybrid,代瑞亮,王晓李,,,
398061,中海消费,中海基金管理有限公司,Hybrid,姚晨曦,,,,
519995,长信金利,长信基金管理有限责任公司,Hybrid,高远,,,,
519095,新华行业,新华基金管理股份有限公司,Hybrid,刘彬,,,,
395,汇添富安心A,汇添富基金管理股份有限公司,Bond,何F,茹奕菡,,,
470059,汇添富可转债C,汇添富基金管理股份有限公司,Bond,吴江宏,曾刚,,,
259,农银区间,农银汇理基金管理有限公司,Hybrid,陈富权,,,,
59,国联安医药A,国联安基金管理有限公司,Stock,黄欣,,,,
519692,交银成长A,交银施罗德基金管理有限公司,Hybrid,王少成,,,,
192,富国信用债C,富国基金管理有限公司,Bond,黄纪亮,,,,
166,中海信息产业,中海基金管理有限公司,Hybrid,刘俊,,,,
100066,富国纯债A/B,富国基金管理有限公司,Bond,武磊,,,,
66,诺安鸿鑫,诺安基金管理有限公司,Hybrid,罗春蕾,,,,
519066,汇添富蓝筹,汇添富基金管理股份有限公司,Hybrid,雷鸣,,,,
519666,银河银信B,银河基金管理有限公司,Bond,韩晶,蒋磊,,,
257050,国联安主题,国联安基金管理有限公司,Hybrid,张汉毅,,,,
510150,招商消费ETF,招商基金管理有限公司,Stock,苏燕青,,,,
377150,上投品质,上投摩根基金管理有限公司,Hybrid,周战海,,,,
510650,华夏金融ETF,华夏基金管理有限公司,Stock,李俊,徐猛,,,
510050,华夏50ETF,华夏基金管理有限公司,Stock,张弘|,,,,
519050,海富通安颐A,海富通基金管理有限公司,Hybrid,杜晓海,谈云飞,夏妍妍,,
270050,广发新经济,广发基金管理有限公司,Hybrid,邱ZF,,,,
150,华安双债C,华安基金管理有限公司,Bond,贺涛,朱才敏,,,
519150,新华消费,新华基金管理股份有限公司,Hybrid,崔建波,刘晓晨,,,
310368,申万优势,申万菱信基金管理有限公司,Hybrid,孙琳,,,,
686868,浙商聚盈A,浙商基金管理有限公司,Bond,刘爱民,周锦程,,,
519668,银河成长,银河基金管理有限公司,Hybrid,祝建辉,,,,
68,民生转债C,民生加银基金管理有限公司,Bond,邱世磊,,,,
100068,富国纯债C,富国基金管理有限公司,Bond,武磊,,,,
519068,汇添富焦点,汇添富基金管理股份有限公司,Hybrid,雷鸣,,,,
470068,汇添富300ETF联接,汇添富基金管理股份有限公司,Stock,过蓓蓓,赖中立,,,
368,汇添富动态策略,汇添富基金管理股份有限公司,Stock,吴振翔,,,,
57,中银消费,中银基金管理有限公司,Hybrid,钱亚风云,,,,
80003,长盛积极,长盛基金管理有限公司,Bond,段鹏,冯雨生,王赛飞,,
180003,银华88,银华基金管理股份有限公司,Stock,周晶,,,,
550003,中信保诚盛世,中信保诚基金管理有限公司,Hybrid,吴昊,,,,
450003,国富潜力A,国海富兰克林基金管理有限公司,Hybrid,徐荔蓉,,,,
213003,宝盈策略,宝盈基金管理有限公司,Hybrid,蔡丹,刘李杰,朱建明,,
110003,易方达50A,易方达基金管理有限公司,Stock,张胜记,,,,
630003,华商债券A,华商基金管理有限公司,Bond,张永志,,,,
3,中海可转债A,中海基金管理有限公司,Bond,彭海平,,,,
620003,金元丰利债券,金元顺安基金管理有限公司,Bond,孙权,周博洋,,,
610103,信达稳定B,信达澳银基金管理有限公司,Bond,孔学峰,,,,
161603,融通债A/B,融通基金管理有限公司,Bond,王超,,,,
519003,海富通收益,海富通基金管理有限公司,Hybrid,周雪军,,,,
90003,大成蓝筹,大成基金管理有限公司,Hybrid,侯春燕,,,,
540003,汇丰策略A,汇丰晋信基金管理有限公司,Hybrid,郭敏,,,,
630103,华商债券B,华商基金管理有限公司,Bond,张永志,,,,
700003,平安策略,平安基金管理有限公司,Hybrid,神爱前,,,,
20003,国泰精选,国泰基金管理有限公司,Hybrid,杨飞,,,,
166903,民生增利C,民生加银基金管理有限公司,Bond,胡振仓,,,,
163503,天治核心,天治基金管理有限公司,Hybrid,许家涵,,,,
690003,民生精选,民生加银基金管理有限公司,Hybrid,黄一明,,,,
240003,华宝宝康债券,华宝基金管理有限公司,Bond,李栋梁,,,,
560003,益民创新,益民基金管理有限公司,Hybrid,吕伟,,,,
460003,华泰增利B,华泰柏瑞基金管理有限公司,Bond,陈东,,,,
217003,招商债券A,招商基金管理有限公司,Bond,康晶,,,,
260103,景顺平衡,景顺长城基金管理有限公司,Hybrid,刘苏,,,,
610003,信达稳定A,信达澳银基金管理有限公司,Bond,孔学峰,,,,
483003,工银平衡,工银瑞信基金管理有限公司,Hybrid,王君正,,,,
217203,招商债券B,招商基金管理有限公司,Bond,康晶,,,,
290003,泰信债券,泰信基金管理有限公司,Bond,何俊春,,,,
161903,万家优选,万家基金管理有限公司,Hybrid,黄兴亮,,,,
150103,银河银泰,银河基金管理有限公司,Hybrid,张杨,,,,
420003,天弘永定,天弘基金管理有限公司,Hybrid,肖志刚,,,,
210003,金鹰行业,金鹰基金管理有限公司,Hybrid,倪超,,,,
202003,南方绩优A,南方基金管理股份有限公司,Hybrid,骆帅,史博,,,
162203,泰达稳定,泰达宏利基金管理有限公司,Hybrid,冀楠,庄腾飞,,,
530003,建信成长A,建信基金管理有限责任公司,Hybrid,姚锦,,,,
160603,鹏华收益,鹏华基金管理有限公司,Hybrid,陈璇淼,蒋鑫,,,
750003,安信收益C,安信基金管理有限责任公司,Bond,李君,张翼飞,,,
1003,华夏债券C类,华夏基金管理有限公司,Bond,何家琪,,,,
159903,南方深成ETF,南方基金管理股份有限公司,Stock,孙伟,,,,
70003,嘉实稳健,嘉实基金管理有限公司,Hybrid,归凯,张淼,,,
573003,诺德债券,诺德基金管理有限公司,Bond,景辉,刘先政,应颖,,
410003,华富成长,华富基金管理有限公司,Hybrid,陈启明,,,,
206003,鹏华信用A,鹏华基金管理有限公司,Bond,方昶,王石千,,,
162703,广发小盘,广发基金管理有限公司,Hybrid,刘格菘,,,,
580003,东吴行业,东吴基金管理有限公司,Hybrid,王立立,,,,
121003,国投核心,国投瑞银基金管理有限公司,Hybrid,吉莉,于雷,,,
590003,中邮优势,中邮创业基金管理股份有限公司,Hybrid,张腾,,,,
163803,中银增长A,中银基金管理有限公司,Hybrid,辜岚,,,,
660003,农银平衡,农银汇理基金管理有限公司,Hybrid,陈富权,,,,
400003,东方精选,东方基金管理有限责任公司,Hybrid,蒋茜,许文波,,,
202103,南方多利A,南方基金管理股份有限公司,Bond,郑迎迎,,,,
320003,诺安先锋,诺安基金管理有限公司,Hybrid,杨谷,,,,
620004,金元价值增长,金元顺安基金管理有限公司,Hybrid,贾丽杰,,,,
4,中海可转债C,中海基金管理有限公司,Bond,彭海平,,,,
540004,汇丰2026,汇丰晋信基金管理有限公司,Hybrid,刘淑生,,,,
90004,大成精选,大成基金管理有限公司,Hybrid,李博,,,,
161604,融通100A/B,融通基金管理有限公司,Stock,何天翔,,,,
550004,信诚三得益A,中信保诚基金管理有限公司,Bond,宋海娟,,,,
450004,国富价值,国海富兰克林基金管理有限公司,Hybrid,刘晓,,,,
404,易方达新兴,易方达基金管理有限公司,Hybrid,刘武,,,,
260104,景顺增长,景顺长城基金管理有限公司,Hybrid,刘彦春,,,,
104,华宸添利A,华宸未来基金管理有限公司,Bond,应晓立,,,,
610004,信达小盘,信达澳银基金管理有限公司,Hybrid,曾国富,,,,
481004,工银成长A,工银瑞信基金管理有限公司,Hybrid,杜洋,,,,
166904,民生添利A,民生加银基金管理有限公司,Bond,陆欣,,,,
700004,平安灵活,平安基金管理有限公司,Hybrid,刘杰,,,,
240004,华宝动力,华宝基金管理有限公司,Hybrid,刘自强,,,,
690004,民生稳健,民生加银基金管理有限公司,Hybrid,蒯学章,,,,
162204,泰达精选,泰达宏利基金管理有限公司,Hybrid,陈丹琳,,,,
210004,金鹰稳健,金鹰基金管理有限公司,Hybrid,陈立,于利强,,,
290004,泰信优质,泰信基金管理有限公司,Hybrid,刘杰,,,,
660004,农银策略,农银汇理基金管理有限公司,Hybrid,陈富权,,,,
40004,华安宝利,华安基金管理有限公司,Hybrid,陈媛,,,,
163804,中银收益A,中银基金管理有限公司,Hybrid,陈军,,,,
320004,诺安优化,诺安基金管理有限公司,Bond,谢志华,,,,
206004,鹏华信用B,鹏华基金管理有限公司,Bond,方昶,王石千,,,
410004,华富收益增强A,华富基金管理有限公司,Bond,尹培俊,,,,
50004,博时精选,博时基金管理有限公司,Hybrid,李权胜,杨鹏,,,
70032,嘉实优化,嘉实基金管理有限公司,Hybrid,常蓁,,,,
159932,大成500深ETF,大成基金管理有限公司,Stock,张钟玉,,,,
519732,交银双息,交银施罗德基金管理有限公司,Hybrid,杨浩,,,,
519032,海富通非周期ETF联接,海富通基金管理有限公司,Stock,江勇,,,,
32,易方达信用债A,易方达基金管理有限公司,Bond,胡剑,纪玲云,,,
100032,富国红利,富国基金管理有限公司,Stock,方F,徐幼华,,,
40035,华安逆向,华安基金管理有限公司,Hybrid,崔莹,,,,
110035,易方达双债A,易方达基金管理有限公司,Bond,王晓晨,,,,
435,建信添利A,建信基金管理有限责任公司,Bond,朱建华,,,,
519035,富国天博,富国基金管理有限公司,Hybrid,毕天宇,,,,
100035,富国优化A/B,富国基金管理有限公司,Bond,俞晓斌,张明凯,,,
686869,浙商聚盈C,浙商基金管理有限公司,Bond,刘爱民,周锦程,,,
519669,银河领先,银河基金管理有限公司,Bond,韩晶,蒋磊,,,
69,国投中高债A,国投瑞银基金管理有限公司,Bond,宋璐,,,,
519069,汇添富价值A,汇添富基金管理股份有限公司,Hybrid,劳杰男,,,,
256,上投红利A,上投摩根基金管理有限公司,Hybrid,聂曙光,,,,
56,建信消费,建信基金管理有限责任公司,Hybrid,邱宇航,,,,
100056,富国低碳,富国基金管理有限公司,Hybrid,魏伟,,,,
519156,新华轮换A,新华基金管理股份有限公司,Hybrid,崔建波,,,,
398051,中海新能源,中海基金管理有限公司,Hybrid,刘俊,,,,
251,工银地产,工银瑞信基金管理有限公司,Hybrid,王君正,鄢耀,,,
51,华夏300ETF联接A,华夏基金管理有限公司,Stock,张弘|,赵宗庭,,,
100051,富国可转债,富国基金管理有限公司,Bond,俞晓斌,张明凯,,,
470058,汇添富可转债A,汇添富基金管理股份有限公司,Bond,吴江宏,曾刚,,,
519158,新华领航,新华基金管理股份有限公司,Hybrid,蔡春红,崔建波,,,
100058,富国产业债A,富国基金管理有限公司,Bond,黄纪亮,武磊,,,
58,国联安安泰,国联安基金管理有限公司,Hybrid,林渌,,,,
310358,申万新经济,申万菱信基金管理有限公司,Hybrid,林博程,,,,
167,广发聚优A,广发基金管理有限公司,Hybrid,张东一,,,,
67,民生转债A,民生加银基金管理有限公司,Bond,邱世磊,,,,
519667,银河银信A,银河基金管理有限公司,Bond,韩晶,蒋磊,,,
519993,长信增利,长信基金管理有限责任公司,Hybrid,叶松,,,,
161693,融通债C,融通基金管理有限公司,Bond,王超,,,,
519093,新华品质,新华基金管理股份有限公司,Hybrid,蔡春红,,,,
519694,交银蓝筹,交银施罗德基金管理有限公司,Hybrid,王少成,,,,
194,银华四季红A,银华基金管理股份有限公司,Bond,邹维娜,,,,
519660,银河增利A,银河基金管理有限公司,Bond,韩晶,蒋磊,,,
100060,富国高新,富国基金管理有限公司,Hybrid,李元博,,,,
510060,工银央企ETF,工银瑞信基金管理有限公司,Stock,赵栩,,,,
510260,诺安上证新兴ETF,诺安基金管理有限公司,Stock,,,,,
510660,华夏医药ETF,华夏基金管理有限公司,Stock,张弘|,,,,
510160,南方小康ETF,南方基金管理股份有限公司,Stock,崔蕾,龚涛,,,
257060,国联安商品ETF联接,国联安基金管理有限公司,Stock,黄欣,,,,
159934,易方达黄金ETF,易方达基金管理有限公司,Other,范冰,余海燕,,,
20034,国泰民安C,国泰基金管理有限公司,Bond,韩哲昊,,,,
519034,海富通低碳,海富通基金管理有限公司,Stock,江勇,,,,
1033,华夏安康C,华夏基金管理有限公司,Bond,柳万军,,,,
159933,国投金地ETF,国投瑞银基金管理有限公司,Stock,殷瑞飞,,,,
20033,国泰民安A,国泰基金管理有限公司,Bond,韩哲昊,,,,
519033,海富通国策,海富通基金管理有限公司,Hybrid,施敏佳,,,,
33,易方达信用债C,易方达基金管理有限公司,Bond,胡剑,纪玲云,,,
180033,银华上证50ETF联接,银华基金管理股份有限公司,Stock,周大鹏,,,,
485005,工银强债B,工银瑞信基金管理有限公司,Bond,杜海涛,张略钊,,,
5,嘉实增强信用,嘉实基金管理有限公司,Bond,刘宁,,,,
161605,融通成长,融通基金管理有限公司,Hybrid,付伟琦,,,,
519005,海富通股票,海富通基金管理有限公司,Hybrid,吕越超,,,,
540005,汇丰增利A,汇丰晋信基金管理有限公司,Bond,李媛媛,,,,
360005,光大红利,光大保德信基金管理有限公司,Hybrid,金P毅,詹佳,,,
205,易方达投资信用A,易方达基金管理有限公司,Bond,王晓晨,,,,
80005,长盛红利,长盛基金管理有限公司,Hybrid,冯雨生,,,,
450005,国富债券A,国海富兰克林基金管理有限公司,Bond,刘怡敏,,,,
550005,信诚三得益B,中信保诚基金管理有限公司,Bond,宋海娟,,,,
270005,广发聚丰,广发基金管理有限公司,Hybrid,李琛,苗宇,邱ZF,,
110005,易方达积极,易方达基金管理有限公司,Hybrid,王超,,,,
630005,华商动态,华商基金管理有限公司,Hybrid,艾定飞,邓默,,,
161005,富国天惠A,富国基金管理有限公司,Hybrid,朱少醒,,,,
217005,招商先锋,招商基金管理有限公司,Hybrid,付斌,,,,
233005,大摩强债,摩根士丹利华鑫基金管理有限公司,Bond,张雪,,,,
350005,天治2025,天治基金管理有限公司,Hybrid,胡耀文,,,,
570005,诺德成长,诺德基金管理有限公司,Hybrid,郝旭东,,,,
610005,信达红利,信达澳银基金管理有限公司,Hybrid,王辉良,邹运,,,
105,建信安心A,建信基金管理有限责任公司,Bond,闫晗,,,,
485105,工银强债A,工银瑞信基金管理有限公司,Bond,杜海涛,张略钊,,,
161505,银河通利A,银河基金管理有限公司,Bond,韩晶,蒋磊,,,
700005,平安添利A,平安基金管理有限公司,Bond,WANG.AO,,,,
20005,国泰金马,国泰基金管理有限公司,Hybrid,李恒,,,,
166905,民生添利C,民生加银基金管理有限公司,Bond,陆欣,,,,
160805,长盛同智,长盛基金管理有限公司,Hybrid,乔培涛,,,,
690005,民生内需,民生加银基金管理有限公司,Hybrid,柳世庆,,,,
240005,华宝策略,华宝基金管理有限公司,Stock,蔡目荣,,,,
460005,华泰价值,华泰柏瑞基金管理有限公司,Hybrid,方纬,,,,
210005,金鹰主题,金鹰基金管理有限公司,Hybrid,陈立,,,,
541005,汇丰增利C,汇丰晋信基金管理有限公司,Bond,李媛媛,,,,
202005,南方成份A,南方基金管理股份有限公司,Hybrid,黄春逢,张原,,,
162205,泰达预算,泰达宏利基金管理有限公司,Hybrid,傅浩,刘欣,,,
530005,建信优化,建信基金管理有限责任公司,Hybrid,邱宇航,,,,
160605,鹏华50,鹏华基金管理有限公司,Hybrid,王宗合,,,,
380005,中银纯债A,中银基金管理有限公司,Bond,陈玮,,,,
164105,华富强债,华富基金管理有限公司,Bond,尹培俊,,,,
750005,安信稳增A,安信基金管理有限责任公司,Hybrid,张明,庄园,,,
159905,工银深红利ETF,工银瑞信基金管理有限公司,Stock,赵栩,,,,
70005,嘉实债券,嘉实基金管理有限公司,Bond,曲扬,,,,
290005,泰信优势,泰信基金管理有限公司,Hybrid,朱志权,,,,
420005,天弘策略,天弘基金管理有限公司,Hybrid,陈国光,谷琦彬,,,
162605,景顺鼎益,景顺长城基金管理有限公司,Hybrid,刘彦春,,,,
160505,博时主题,博时基金管理有限公司,Hybrid,王俊,,,,
590005,中邮主题,中邮创业基金管理股份有限公司,Hybrid,陈梁,,,,
163805,中银动态,中银基金管理有限公司,Hybrid,邬炜,,,,
40005,华安宏利,华安基金管理有限公司,Hybrid,王春,,,,
660005,农银中小盘,农银汇理基金管理有限公司,Hybrid,付娟,徐文卉,,,
202105,南方广利A/B,南方基金管理股份有限公司,Bond,刘文良,,,,
320005,诺安价值,诺安基金管理有限公司,Hybrid,王创练,,,,
410005,华富收益增强B,华富基金管理有限公司,Bond,尹培俊,,,,
206005,鹏华民企ETF联接,鹏华基金管理有限公司,Stock,崔俊杰,张羽翔,,,
580005,东吴进取,东吴基金管理有限公司,Hybrid,赵梅玲,,,,
166005,中欧价值A,中欧基金管理有限公司,Hybrid,曹名长,蓝小康,,,
160105,南方积配,南方基金管理股份有限公司,Hybrid,蔡望鹏,,,,
121005,国投创新,国投瑞银基金管理有限公司,Hybrid,孙文龙,,,,
270002,广发稳健,广发基金管理有限公司,Hybrid,傅友兴,,,,
213002,宝盈增长,宝盈基金管理有限公司,Hybrid,张志梅,,,,
450002,国富弹性,国海富兰克林基金管理有限公司,Hybrid,赵晓东,,,,
550002,中信保诚精萃,中信保诚基金管理有限公司,Hybrid,王睿,,,,
229002,泰达逆向,泰达宏利基金管理有限公司,Hybrid,刘欣,,,,
180002,银华保本,银华基金管理股份有限公司,Bond,贾鹏,孙慧,,,
80002,长盛先锋,长盛基金管理有限公司,Hybrid,赵宏宇,,,,
92002,大成债C,大成基金管理有限公司,Bond,王立,,,,
163402,兴全趋势,兴全基金管理有限公司,Hybrid,董承非,乔迁,,,
630002,华商盛世,华商基金管理有限公司,Hybrid,周海栋,,,,
730002,方正红利A,方正富邦基金管理有限公司,Hybrid,方伟宁,吴昊,,,
519602,海富通中华,海富通基金管理有限公司,QDII,高峥,陶意非,,,
110002,易方达策略,易方达基金管理有限公司,Hybrid,梁裕宁,,,,
112002,易方达策略二号,易方达基金管理有限公司,Hybrid,梁裕宁,,,,
720002,财通策略A,财通基金管理有限公司,Bond,林洪钧,,,,
620002,金元成长动力,金元顺安基金管理有限公司,Hybrid,贾丽杰,,,,
540002,汇丰龙腾,汇丰晋信基金管理有限公司,Hybrid,严瑾,,,,
710302,富安达强债C,富安达基金管理有限公司,Bond,李飞,,,,
90002,大成债券A/B,大成基金管理有限公司,Bond,王立,,,,
519002,华安安信,华安基金管理有限公司,Hybrid,饶晓鹏,王斌,,,
690202,民生强债C,民生加银基金管理有限公司,Bond,吕军涛,杨林耘,,,
166902,民生增利A,民生加银基金管理有限公司,Bond,胡振仓,,,,
20002,国泰债券A,国泰基金管理有限公司,Bond,吴晨,,,,
519702,交银趋势,交银施罗德基金管理有限公司,Hybrid,韩威俊,,,,
151002,银河收益,银河基金管理有限公司,Bond,韩晶,,,,
700002,平安深证300,平安基金管理有限公司,Stock,DANIEL.DONGNING.SUN,施旭,,,
460002,华泰成长A,华泰柏瑞基金管理有限公司,Hybrid,方伦煜,,,,
560002,益民红利,益民基金管理有限公司,Hybrid,吕伟,,,,
240002,华宝配置,华宝基金管理有限公司,Hybrid,季鹏,,,,
690002,民生强债A,民生加银基金管理有限公司,Bond,吕军涛,杨林耘,,,
163302,大摩资源,摩根士丹利华鑫基金管理有限公司,Hybrid,徐达,,,,
217002,招商平衡,招商基金管理有限公司,Hybrid,李,,,,
710002,富安达策略,富安达基金管理有限公司,Hybrid,李守峰,毛矛,,,
610002,信达精华,信达澳银基金管理有限公司,Hybrid,冯明远,,,,
164902,交银添利,交银施罗德基金管理有限公司,Bond,唐S,,,,
288102,华夏双利C,华夏基金管理有限公司,Bond,刘明宇,张海静,,,
161902,万家债券,万家基金管理有限公司,Bond,苏谋东,周潜玮,,,
290002,泰信先行,泰信基金管理有限公司,Hybrid,王博强,,,,
420002,天弘永利A,天弘基金管理有限公司,Bond,姜晓丽,,,,
200002,长城久泰A,长城基金管理有限公司,Stock,雷俊,杨建华,,,
164702,汇添富季红,汇添富基金管理股份有限公司,Bond,陆文磊,徐光,,,
160602,鹏华债券A,鹏华基金管理有限公司,Bond,刘涛,,,,
261002,景顺增利A,景顺长城基金管理有限公司,Bond,何江波,,,,
162202,泰达周期,泰达宏利基金管理有限公司,Hybrid,赖庆鑫,,,,
202002,南稳贰号,南方基金管理股份有限公司,Hybrid,应帅,,,,
210002,金鹰红利,金鹰基金管理有限公司,Hybrid,王,,,,
70002,嘉实增长,嘉实基金管理有限公司,Hybrid,归凯,,,,
159902,华夏中小板ETF,华夏基金管理有限公司,Stock,徐猛,,,,
202202,南方避险,南方基金管理股份有限公司,Bond,,,,,
660102,农银增利C,农银汇理基金管理有限公司,Bond,史向明,,,,
750002,安信收益A,安信基金管理有限责任公司,Bond,李君,张翼飞,,,
650002,英大纯债C,英大基金管理有限公司,Bond,易祺坤,,,,
206002,鹏华精选,鹏华基金管理有限公司,Hybrid,谢书英,,,,
420102,天弘永利B,天弘基金管理有限公司,Bond,姜晓丽,,,,
288002,华夏收入,华夏基金管理有限公司,Hybrid,郑煜,,,,
121002,国投景气,国投瑞银基金管理有限公司,Hybrid,伍智勇,,,,
50002,博时300A,博时基金管理有限公司,Stock,桂征辉,,,,
580002,东吴动力,东吴基金管理有限公司,Hybrid,戴斌,,,,
166002,中欧蓝筹A,中欧基金管理有限公司,Hybrid,金媛媛,周蔚文,,,
660002,农银增利A,农银汇理基金管理有限公司,Bond,史向明,,,,
162102,金鹰小盘,金鹰基金管理有限公司,Hybrid,于利强,,,,
40002,华安中国A股,华安基金管理有限公司,Stock,马韬,许之彦,,,
590002,中邮成长,中邮创业基金管理股份有限公司,Hybrid,纪云飞,,,,
582002,东吴增利A,东吴基金管理有限公司,Bond,王文华,,,,
582202,东吴增利C,东吴基金管理有限公司,Bond,王文华,,,,
571002,诺德主题,诺德基金管理有限公司,Hybrid,朱红,,,,
202102,南方多利C,南方基金管理股份有限公司,Bond,郑迎迎,,,,
261102,景顺增利C,景顺长城基金管理有限公司,Bond,何江波,,,,
510220,华泰中小ETF,华泰柏瑞基金管理有限公司,Stock,柳军,,,,
166020,中欧优选A,中欧基金管理有限公司,Hybrid,曹名长,袁维德,,,
161820,银华纯债,银华基金管理股份有限公司,Bond,邹维娜,,,,
377020,上投动力,上投摩根基金管理有限公司,Hybrid,刘辉,,,,
253020,国联安增利A,国联安基金管理有限公司,Bond,吕中凡,,,,
371120,上投纯债B,上投摩根基金管理有限公司,Bond,聂曙光,,,,
510020,博时超大ETF,博时基金管理有限公司,Stock,万琼,,,,
160720,嘉实中期企债A,嘉实基金管理有限公司,Bond,崔思维,胡永青,曲扬,王亚洲,
400020,东方回报,东方基金管理有限责任公司,Hybrid,李瑞,吴萍萍,,,
40020,华安升级,华安基金管理有限公司,Hybrid,饶晓鹏,,,,
371020,上投纯债A,上投摩根基金管理有限公司,Bond,聂曙光,,,,
510120,海富通非周期ETF,海富通基金管理有限公司,Stock,江勇,,,,
70020,嘉实稳固,嘉实基金管理有限公司,Bond,胡永青,曲扬,,,
159920,华夏恒生ETF,华夏基金管理有限公司,QDII,徐猛,,,,
160620,鹏华资源,鹏华基金管理有限公司,Stock,崔俊杰,,,,
257020,国联安精选混合,国联安基金管理有限公司,Hybrid,魏东,,,,
530020,建信转债A,建信基金管理有限责任公司,Bond,朱建华,,,,
373020,上投双核,上投摩根基金管理有限公司,Hybrid,陈思郁,,,,
240020,华宝医药,华宝基金管理有限公司,Hybrid,光磊,,,,
20020,国泰双利C,国泰基金管理有限公司,Bond,吴晨,,,,
460220,华泰中小ETF联接,华泰柏瑞基金管理有限公司,Stock,柳军,,,,
519720,交银纯债C,交银施罗德基金管理有限公司,Bond,魏玉敏,于海颖,,,
161120,易方达综债C,易方达基金管理有限公司,Bond,王晓晨,,,,
